SMILES,NAME,Name,LogFile
CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID601139880,,
FC1C(F)(F)C(F)=CC(F)(F)C1(F)F,DTXSID601288029,,
FCC(F)(F)C(F)(F)C(F)F,DTXSID601348429,,
FC(=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID601352103,,
FCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID601358787,,
FC(F)=C(F)C(F)(C(F)(F)F)C(F)(F)F,DTXSID60175945,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C,DTXSID60184471,,
FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID60188833,,
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID60190951,,
FC(C(F)C(F)(F)F)C(F)(F)F,DTXSID60379668,,
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,DTXSID60379941,,
FC(F)(F)C(F)(C#C)C(F)(F)F,DTXSID60382172,,
FC(F)(F)C(F)(C(F)(F)F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,DTXSID60436109,,
CC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID60467913,,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C,DTXSID6047575,,
CC(F)(F)CF,DTXSID60539225,,
FC1(F)CC=CC1(F)F,DTXSID60548579,,
CCC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID60550319,,
FC(C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,DTXSID60595543,,
CCCCC(F)(F)C(F)(F)C(F)(F)F,DTXSID60599647,,
CCC(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID60612461,,
FCC(F)C(F)C(F)(F)F,DTXSID60620122,,
